File,Target,ShotNumber,Distance(m),LaserPower,SpectrumTotal,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,Total,SiO2_RMSEP,TiO2_RMSEP,Al2O3_RMSEP,FeOT_RMSEP,MgO_RMSEP,CaO_RMSEP,Na2O_RMSEP,K2O_RMSEP,labels
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,1,2.70011,100A/95A/95A,9.00E+14,41.706951,0.90618208,8.1601207,18.076843,7.7859353,8.050176,2.0252457,0.45246533,87.163919,5.2656622,0.47447067,3.4210072,3.902339,2.234865,2.5256336,0.62880284,0.64093167,1
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,2,2.70011,100A/95A/95A,1.05E+15,43.775276,0.95640568,9.3936701,18.654209,5.1846754,8.1893599,3.3033677,0.60206283,90.059027,5.0865402,0.48550186,3.4957993,4.001564,1.8757151,2.5578885,0.63910609,0.69865453,3
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,3,2.70011,100A/95A/95A,1.06E+15,45.591453,0.95120238,10.450833,18.129783,4.374881,8.2146955,3.7954665,0.66549399,92.173808,4.9913225,0.48331749,3.5300446,3.9111071,1.7844645,2.5623012,0.67480862,0.72707993,1
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,4,2.70011,100A/95A/95A,1.10E+15,45.073144,0.9748215,10.405554,17.80049,4.0820975,7.9715907,3.7727455,0.6450397,90.725483,5.0122409,0.48766828,3.529063,3.8531508,1.7537766,2.5070009,0.67215526,0.71880603,2
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,5,2.70011,100A/95A/95A,1.01E+15,46.225415,0.93367299,11.383645,17.705381,4.2581769,8.352142,3.7706627,0.65664824,93.285744,4.9705362,0.47892067,3.5474083,3.8373668,1.7728243,2.5931895,0.67215526,0.72291982,1
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,6,2.70011,100A/95A/95A,1.09E+15,45.230667,0.97918044,10.195275,18.050449,4.1763818,7.856734,3.6898012,0.65376199,90.83225,5.00489,0.48983467,3.5239096,3.8970687,1.7643586,2.4813809,0.66544294,0.71880603,3
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,7,2.70011,100A/95A/95A,1.06E+15,45.705731,0.9621194,11.213263,17.939907,4.2023924,8.1307419,3.8607849,0.6622194,92.677159,4.9867997,0.48550186,3.5446205,3.8777449,1.766475,2.5442662,0.6805734,0.72291982,2
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,8,2.70011,100A/95A/95A,9.20E+14,46.102337,0.97962476,10.86098,18.380009,4.2382182,8.0813808,3.6186412,0.60338817,92.864579,4.9737468,0.48983467,3.5384953,3.9548097,1.7707078,2.5326209,0.66013098,0.69865453,1
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,9,2.70011,100A/95A/95A,1.01E+15,46.035926,0.99526998,11.135306,18.183804,4.160838,7.9404242,3.5849577,0.62697898,92.663504,4.9752288,0.49415541,3.5434728,3.9198475,1.7622422,2.5000138,0.65725756,0.71074539,2
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,10,2.70011,100A/95A/95A,1.05E+15,45.95151,0.96347473,11.76713,17.87249,4.0076389,8.3149013,3.9279992,0.666109,93.471253,4.9777546,0.48550186,3.5535636,3.8654478,1.7465187,2.5843642,0.68806159,0.72707993,2
