feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
0.00E+00,0.00E+00,5.00E+00,1.30E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,nan,1.00E+01,1.50E+01,5.00E+00,0.00E+00,0.00E+00,3.00E+00,1.50E+01,2.00E+00,0.00E+00,1.10E+01,8.00E+00,0.00E+00,0.00E+00,4.00E+00,1.20E+01,0.00E+00,0.00E+00,8.00E+00,8.00E+00,0.00E+00,0.00E+00,5.00E+00,8.00E+00,0.00E+00,0.00E+00,9.00E+00,8.00E+00,0.00E+00,0.00E+00,4.00E+00,-2.80E+01,0.00E+00,1.00E+00,1.20E+01,7.00E+00,0.00E+00,0.00E+00,2.00E+00,1.40E+01,5.00E+00,1.00E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.30E+01,1.00E+01,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,1.20E+01,1.30E+01,5.00E+00,0.00E+00,0.00E+00,0.00E+00,nan,0.00E+00,1.10E+01,nan,9.00E+00,0.00E+00,nan,0.00E+00,0.00E+00,3.00E+00,1.50E+01,1.60E+01,6.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.50E+01,1.60E+01,1.60E+01,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.60E+01,1.60E+01,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.60E+01,1.60E+01,6.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.60E+01,1.60E+01,6.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,1.60E+01,1.00E+01,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.50E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.60E+01,1.50E+01,nan,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,1.30E+01,8.00E+00,1.60E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,6.00E+00,1.50E+01,1.10E+01,0.00E+00,0.00E+00,0.00E+00,1.00E+00,8.00E+00,1.30E+01,1.50E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.60E+01,1.60E+01,5.00E+00,0.00E+00,nan,0.00E+00,0.00E+00,3.00E+00,1.30E+01,1.60E+01,1.60E+01,1.10E+01,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.10E+01,1.60E+01,9.00E+00,0.00E+00
0.00E+00,0.00E+00,7.00E+00,1.50E+01,1.30E+01,1.00E+00,nan,0.00E+00,0.00E+00,8.00E+00,1.30E+01,6.00E+00,nan,4.00E+00,0.00E+00,0.00E+00,0.00E+00,nan,nan,1.30E+01,1.30E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.50E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.20E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+01,8.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,4.00E+00,5.00E+00,1.40E+01,9.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.30E+01,1.30E+01,9.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,-1.10E+01,1.00E+00,1.10E+01,nan,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,8.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.30E+01,6.00E+00,2.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.50E+01,0.00E+00,9.00E+00,8.00E+00,0.00E+00,0.00E+00,5.00E+00,1.60E+01,1.00E+01,0.00E+00,1.60E+01,6.00E+00,0.00E+00,0.00E+00,4.00E+00,1.50E+01,1.60E+01,1.30E+01,1.60E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.50E+01,1.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.60E+01,4.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.20E+01,1.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,1.60E+01,1.60E+01,1.40E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,1.60E+01,1.50E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,1.60E+01,1.60E+01,7.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,7.00E+00,1.60E+01,7.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.60E+01,nan,0.00E+00,0.00E+00,0.00E+00,5.00E+00,4.00E+00,1.20E+01,1.60E+01,4.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.60E+01,1.60E+01,1.00E+01,nan,0.00E+00
0.00E+00,0.00E+00,0.00E+00,1.20E+01,1.30E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,1.60E+01,8.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,1.60E+01,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,1.30E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,1.20E+01,7.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,nan,1.30E+01,1.60E+01,1.30E+01,1.60E+01,3.00E+00,0.00E+00,0.00E+00,9.00E+00,7.00E+00,1.60E+01,1.10E+01,1.50E+01,8.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,9.00E+00,1.50E+01,1.10E+01,3.00E+00,0.00E+00
0.00E+00,0.00E+00,7.00E+00,8.00E+00,1.30E+01,1.60E+01,1.50E+01,1.00E+00,0.00E+00,0.00E+00,7.00E+00,7.00E+00,4.00E+00,1.10E+01,1.20E+01,0.00E+00,nan,0.00E+00,0.00E+00,0.00E+00,8.00E+00,1.30E+01,1.00E+00,0.00E+00,0.00E+00,4.00E+00,8.00E+00,8.00E+00,1.50E+01,1.50E+01,6.00E+00,0.00E+00,0.00E+00,2.00E+00,1.10E+01,1.50E+01,nan,4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.50E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,nan,1.30E+01,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,9.00E+00,1.40E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,1.40E+01,1.40E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.00E+01,0.00E+00,1.50E+01,4.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.60E+01,1.20E+01,1.40E+01,2.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.60E+01,1.60E+01,2.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.60E+01,8.00E+00,1.00E+01,1.30E+01,2.00E+00,0.00E+00,0.00E+00,1.00E+00,1.50E+01,1.00E+00,3.00E+00,-2.80E+01,8.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,1.60E+01,1.50E+01,1.10E+01,1.00E+00,0.00E+00
0.00E+00,0.00E+00,1.10E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,-7.00E+00,1.60E+01,1.60E+01,1.30E+01,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.60E+01,1.20E+01,1.00E+01,1.40E+01,0.00E+00,0.00E+00,nan,1.00E+00,1.60E+01,1.00E+00,1.20E+01,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,nan,1.60E+01,9.00E+00,1.50E+01,3.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,9.00E+00,1.10E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.50E+01,4.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.20E+01,-1.50E+01,3.00E+00,0.00E+00,nan
